"ВУЗ";"ФИО";"Номер диплома";"Пароль"
"ЮРГПУ (НПИ)";"Орлов София Ивановна";"ДП-2013-1019";"TAGPPMkvj9LagaFD"
"ЮРГПУ (НПИ)";"Орлов София Олеговна";"ДП-2017-1039";"FUjvmL6mOoulCGbo"
"ЮРГПУ (НПИ)";"Павлов Елена Ивановна";"ДП-2013-1035";"wh2fKi8yQ9x6sydF"
"ЮРГПУ (НПИ)";"Павлов Елена Олеговна";"ДП-2025-1015";"QxFF8pYALZRrRzYu"
"ЮРГПУ (НПИ)";"Петров Екатерина Андреевна";"ДП-2015-1021";"dASP_PmKCffu6wby"
"ЮРГПУ (НПИ)";"Петров Екатерина Дмитриевна";"ДП-2011-1001";"ZFv59aIGv6UGJ5Wt"
"ЮРГПУ (НПИ)";"Петров Екатерина Дмитриевна";"ДП-2019-1041";"zGV4f6uze9440pmy"
"ЮРГПУ (НПИ)";"Попов Елена Андреевна";"ДП-2015-1005";"HJdZh4SjxxvojES2"
"ЮРГПУ (НПИ)";"Попов Елена Андреевна";"ДП-2023-1045";"43-arvc_HMipVrnh"
"ЮРГПУ (НПИ)";"Попов Елена Дмитриевна";"ДП-2019-1025";"bqBrdWxTIf_QQc2H"
"ЮРГПУ (НПИ)";"Семёнов Ольга Андреевна";"ДП-2023-1013";"KBUZHogmrTTf1LSA"
"ЮРГПУ (НПИ)";"Семёнов Ольга Дмитриевна";"ДП-2011-1033";"KnCh7LWWbglOCiZE"
"ЮРГПУ (НПИ)";"Сидоров Максим Павлович";"ДП-2016-1022";"HHasGJymKHRnkIpi"
"ЮРГПУ (НПИ)";"Сидоров Максим Сергеевич";"ДП-2012-1002";"i27KBJgSYPSRVWXG"
"ЮРГПУ (НПИ)";"Сидоров Максим Сергеевич";"ДП-2020-1042";"ORAvDzjt4owjE5VR"
"ЮРГПУ (НПИ)";"Смирнов Ольга Ивановна";"ДП-2013-1003";"onOCMvTdJ9q0td1l"
"ЮРГПУ (НПИ)";"Смирнов Ольга Ивановна";"ДП-2021-1043";"02VL7AflBV8XyNRo"
"ЮРГПУ (НПИ)";"Смирнов Ольга Олеговна";"ДП-2017-1023";"89145XsnCSekb55_"
"ЮРГПУ (НПИ)";"Степанов Татьяна Андреевна";"ДП-2015-1037";"q75IiXjCMMcx_O-h"
"ЮРГПУ (НПИ)";"Степанов Татьяна Дмитриевна";"ДП-2011-1017";"oSwYMZ3sRSivuA1f"
"ЮРГПУ (НПИ)";"Фёдоров Даниил Александрович";"ДП-2018-1008";"TEHtj1s583wWB2rk"
"ЮРГПУ (НПИ)";"Фёдоров Даниил Александрович";"ДП-2010-1048";"yWdwdp4h15J5XaCL"
"ЮРГПУ (НПИ)";"Фёдоров Даниил Максимович";"ДП-2022-1028";"Z0qhJLQJIx4haMJS"
